,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,21.47,88,90,2.57,US,1632182653
1,ushuaia,-54.8,-68.3,5.81,87,75,3.6,AR,1632182866
2,kapaa,22.0752,-159.319,28.99,74,90,6.69,US,1632182866
3,porto santo,33.072,-16.3415,22.21,64,40,6.17,PT,1632182867
4,bengkulu,-3.8004,102.2655,24.54,87,80,1.48,ID,1632182867
5,port elizabeth,-33.918,25.5701,15.45,57,63,8.38,ZA,1632182868
6,tiksi,71.6872,128.8694,1.6,72,100,2.56,RU,1632182868
7,aykhal,66.0,111.5,1.98,66,100,5.26,RU,1632182869
8,alofi,-19.0595,-169.9187,24.7,74,2,3.02,NU,1632182869
9,bara,10.3744,10.7288,25.07,76,99,2.51,NG,1632182869
10,barrow,71.2906,-156.7887,1.01,64,90,6.69,US,1632182870
11,port blair,11.6667,92.75,26.97,83,100,4.43,IN,1632182870
12,clyde river,70.4692,-68.5914,-1.19,74,58,2.14,CA,1632182871
13,hilo,19.7297,-155.09,26.85,65,90,4.12,US,1632182603
14,vaini,-21.2,-175.2,21.09,94,75,4.12,TO,1632182871
15,komsomolskiy,40.4272,71.7189,14.68,28,0,1.09,UZ,1632182872
16,boguchany,58.3814,97.4531,2.24,95,36,2.48,RU,1632182872
17,butaritari,3.0707,172.7902,28.22,71,85,6.43,KI,1632182872
18,hobart,-42.8794,147.3294,9.92,50,75,5.14,AU,1632182873
19,hermanus,-34.4187,19.2345,10.98,66,13,2.8,ZA,1632182873
20,geraldton,-28.7667,114.6,18.23,42,0,5.66,AU,1632182874
21,lages,-27.8161,-50.3261,18.9,92,41,0.58,BR,1632182874
22,bambous virieux,-20.3428,57.7575,20.41,65,38,6.65,MU,1632182874
23,ariquemes,-9.9133,-63.0408,29.76,46,58,0.89,BR,1632182875
24,east london,-33.0153,27.9116,14.17,52,39,10.91,ZA,1632182875
25,davila,18.4726,120.5763,28.21,76,67,0.98,PH,1632182876
26,yellowknife,62.456,-114.3525,6.84,75,100,1.75,CA,1632182876
27,busselton,-33.65,115.3333,13.03,60,0,4.65,AU,1632182647
28,rikitea,-23.1203,-134.9692,23.38,76,7,5.73,PF,1632182877
29,mantua,45.1667,10.7833,17.58,87,81,4.23,IT,1632182877
30,labuhan,-6.8844,112.2051,26.11,78,100,2.69,ID,1632182877
31,teknaf,20.8624,92.3058,24.88,92,95,2.58,BD,1632182878
32,bluff,-46.6,168.3333,8.81,88,100,5.46,NZ,1632182878
33,puerto ayora,-0.7393,-90.3518,20.2,82,73,4.93,EC,1632182690
34,atuona,-9.8,-139.0333,25.39,72,34,8.63,PF,1632182879
35,kikwit,-5.041,18.8162,23.96,63,20,0.33,CD,1632182879
36,mataura,-46.1927,168.8643,10.7,81,99,1.29,NZ,1632182879
37,plouzane,48.3833,-4.6167,14.03,94,75,2.57,FR,1632182880
38,castilho,-20.8722,-51.4875,30.77,19,24,2.71,BR,1632182880
39,chitipa,-9.7024,33.2697,16.34,78,7,2.65,MW,1632182881
40,severo-kurilsk,50.6789,156.125,10.03,77,37,12.96,RU,1632182881
41,manohar thana,24.24,76.8018,23.13,97,51,2.43,IN,1632182881
42,kirakira,-10.4544,161.9205,28.97,71,59,5.29,SB,1632182882
43,seoni,22.0833,79.5333,22.07,93,96,1.55,IN,1632182882
44,sao filipe,14.8961,-24.4956,26.61,84,53,1.5,CV,1632182883
45,mar del plata,-38.0023,-57.5575,9.25,81,0,7.11,AR,1632182751
46,victoria,22.2855,114.1577,30.03,79,32,1.13,HK,1632182708
47,raudeberg,61.9875,5.1352,11.37,85,95,11.94,NO,1632182884
48,sorland,67.667,12.6934,8.08,86,100,10.34,NO,1632182884
49,saint george,37.1041,-113.5841,30.26,13,1,2.57,US,1632182759
50,arraial do cabo,-22.9661,-42.0278,21.75,89,24,12.54,BR,1632182885
51,merauke,-8.4667,140.3333,26.1,84,100,6.26,ID,1632182885
52,khatanga,71.9667,102.5,-0.17,97,94,0.29,RU,1632182885
53,cherskiy,68.75,161.3,-0.17,56,91,2.69,RU,1632182886
54,omboue,-1.5746,9.2618,23.95,85,68,3.48,GA,1632182886
55,namatanai,-3.6667,152.4333,28.92,67,96,1.92,PG,1632182887
56,shitanjing,39.2342,106.3439,17.84,30,0,2.72,CN,1632182887
57,kupang,-10.1667,123.5833,28.32,57,20,5.14,ID,1632182888
58,cidreira,-30.1811,-50.2056,19.53,96,84,1.61,BR,1632182888
59,grindavik,63.8424,-22.4338,6.26,93,0,2.57,IS,1632182888
60,eyl,7.9803,49.8164,24.53,82,29,7.39,SO,1632182889
61,nemuro,43.3236,145.575,16.24,83,56,6.28,JP,1632182889
62,tainan,22.9908,120.2133,28.95,74,40,1.03,TW,1632182890
63,port alfred,-33.5906,26.891,14.33,64,29,12.2,ZA,1632182890
64,karratha,-20.7377,116.8463,25.93,24,100,12.77,AU,1632182891
65,hasaki,35.7333,140.8333,22.22,63,44,3.46,JP,1632182891
66,ribeira grande,38.5167,-28.7,21.52,71,2,6.09,PT,1632182892
67,kaka,37.3482,59.6143,19.24,29,0,1.09,TM,1632182892
68,jamestown,42.097,-79.2353,23.77,78,1,6.17,US,1632182817
69,dingzhou,38.5131,114.9956,19.13,75,12,1.39,CN,1632182893
70,tura,25.5198,90.2201,21.92,96,49,1.77,IN,1632182893
71,new norfolk,-42.7826,147.0587,9.72,60,78,3.79,AU,1632182893
72,thompson,55.7435,-97.8558,7.2,78,100,3.6,CA,1632182894
73,moroni,-11.7022,43.2551,23.56,77,0,1.51,KM,1632182894
74,chuy,-33.6971,-53.4616,14.17,92,76,7.23,UY,1632182894
75,coihaique,-45.5752,-72.0662,6.97,70,0,2.06,CL,1632182895
76,longyearbyen,78.2186,15.6401,4.91,93,75,0.0,SJ,1632182895
77,kaitangata,-46.2817,169.8464,12.47,65,100,2.83,NZ,1632182896
78,la asuncion,11.0333,-63.8628,26.82,84,74,4.47,VE,1632182721
79,guarapari,-20.6667,-40.4975,21.73,88,13,4.87,BR,1632182896
80,albany,42.6001,-73.9662,18.32,80,44,1.82,US,1632182627
81,san jose,37.3394,-121.895,33.27,18,20,5.14,US,1632182810
82,asau,46.4333,26.4,7.51,92,100,0.51,RO,1632182897
83,sitka,57.0531,-135.33,13.94,82,75,6.69,US,1632182897
84,tombouctou,20.0,-3.0,34.52,10,0,2.46,ML,1632182898
85,armeria,18.9333,-103.9667,29.87,79,74,1.43,MX,1632182898
86,verkh-usugli,52.7,115.1667,9.67,82,92,1.04,RU,1632182899
87,maniitsoq,65.4167,-52.9,0.57,61,59,3.21,GL,1632182899
88,yashkul,46.1711,45.3435,19.76,67,83,2.33,RU,1632182899
89,sayyan,15.1718,44.3244,17.92,31,60,1.8,YE,1632182900
90,stavern,59.0,10.0333,11.14,75,100,6.76,NO,1632182900
91,qaanaaq,77.484,-69.3632,-10.57,72,83,4.14,GL,1632182901
92,sao jose da coroa grande,-8.8978,-35.1478,23.66,74,63,3.21,BR,1632182901
93,ziarat,30.3823,67.7282,15.91,55,0,1.32,PK,1632182901
94,opole lubelskie,51.1478,21.969,5.32,81,92,4.94,PL,1632182902
95,kahului,20.8947,-156.47,31.01,45,40,12.86,US,1632182902
96,tame,6.461,-71.73,23.45,91,100,1.16,CO,1632182903
97,enumclaw,47.2043,-121.9915,20.57,45,23,2.34,US,1632182903
98,przhevalskoye,55.5093,31.8482,4.37,98,100,4.24,RU,1632182904
99,beya,53.0533,90.9139,3.65,79,100,2.84,RU,1632182904
100,caravelas,-17.7125,-39.2481,22.58,83,11,2.31,BR,1632182904
101,kodiak,57.79,-152.4072,11.77,63,47,8.42,US,1632182905
102,vanimo,-2.6741,141.3028,28.72,71,100,1.99,PG,1632182905
103,baykit,61.67,96.37,3.39,86,98,2.97,RU,1632182906
104,qui nhon,13.7667,109.2333,25.26,86,100,2.79,VN,1632182906
105,cape town,-33.9258,18.4232,12.3,64,0,4.22,ZA,1632182763
106,pohorelice,48.9812,16.5245,11.81,73,97,1.8,CZ,1632182907
107,ancud,-41.8697,-73.8203,6.74,85,4,2.49,CL,1632182907
108,mirabad,30.4362,61.8383,25.68,20,0,5.04,AF,1632182907
109,nacozari,25.3366,-108.2574,29.73,70,100,4.36,MX,1632182908
110,iqaluit,63.7506,-68.5145,-1.52,91,100,4.99,CA,1632182908
111,leshukonskoye,64.8989,45.7622,-0.32,94,20,0.77,RU,1632182909
112,mount pleasant,32.7941,-79.8626,24.0,97,90,0.0,US,1632182759
113,mahebourg,-20.4081,57.7,20.46,64,30,6.58,MU,1632182909
114,yakeshi,49.2833,120.7333,10.6,72,100,2.55,CN,1632182910
115,dikson,73.5069,80.5464,1.78,76,100,3.5,RU,1632182911
116,beloha,-25.1667,45.05,17.2,72,0,3.72,MG,1632182912
117,half moon bay,37.4636,-122.4286,32.9,30,1,5.66,US,1632182912
118,pompeu,-19.2244,-44.9353,28.39,28,21,1.9,BR,1632182912
119,kavieng,-2.5744,150.7967,28.56,69,100,2.68,PG,1632182913
120,avarua,-21.2078,-159.775,26.03,78,75,4.12,CK,1632182913
121,bom jesus,-9.0744,-44.3586,28.47,17,72,2.0,BR,1632182913
122,touros,-5.1989,-35.4608,25.5,72,58,7.33,BR,1632182914
123,faanui,-16.4833,-151.75,25.68,73,22,5.11,PF,1632182914
124,narsaq,60.9167,-46.05,3.12,61,1,2.05,GL,1632182915
125,bubaque,11.2833,-15.8333,27.44,82,95,4.37,GW,1632182915
126,lekoni,-1.5843,14.2591,24.45,78,60,2.5,GA,1632182915
127,tabory,58.5198,64.5495,-1.31,93,91,1.9,RU,1632182916
128,carmen,18.6333,-91.8333,32.02,58,40,2.06,MX,1632182916
129,usoke,-5.1667,32.35,21.5,32,14,2.56,TZ,1632182917
130,alyangula,-13.8483,136.4192,28.63,54,85,9.15,AU,1632182917
131,salalah,17.0151,54.0924,27.05,83,75,2.06,OM,1632182667
132,westport,41.1415,-73.3579,21.08,64,1,3.6,US,1632182811
133,upernavik,72.7868,-56.1549,-3.24,79,92,2.18,GL,1632182918
134,yumen,40.2833,97.2,16.29,27,11,4.15,CN,1632182918
135,piranshahr,36.701,45.1413,15.31,41,0,0.72,IR,1632182919
136,georgetown,5.4112,100.3354,24.96,100,20,0.0,MY,1632182720
137,gebre guracha,9.8,38.4,10.93,71,52,1.5,ET,1632182919
138,berehove,48.2056,22.6442,7.03,80,27,3.35,UA,1632182920
139,ossora,59.2353,163.0719,9.16,86,100,9.04,RU,1632182920
140,sabha,27.0377,14.4283,27.71,20,0,4.94,LY,1632182920
141,sao felix do xingu,-6.6447,-51.995,30.47,31,79,0.92,BR,1632182921
142,aligudarz,33.4006,49.6949,14.14,25,0,0.73,IR,1632182921
143,mayumba,-3.432,10.6554,23.47,85,97,2.84,GA,1632182922
144,zaysan,47.4667,84.8667,4.02,37,1,2.43,KZ,1632182922
145,bethel,41.3712,-73.414,20.2,68,1,0.0,US,1632182792
146,taoudenni,22.6783,-3.9836,36.18,9,0,5.67,ML,1632182923
147,saint-leu,-21.15,55.2833,19.46,75,52,4.24,RE,1632182924
148,stromness,58.965,-3.296,13.14,82,100,10.65,GB,1632182924
149,latung,5.5,120.8833,27.03,76,100,1.49,PH,1632182924
150,vallenar,-28.5708,-70.7581,18.25,39,0,1.82,CL,1632182925
151,kruisfontein,-34.0033,24.7314,12.87,60,85,7.04,ZA,1632182925
152,tshela,-4.9833,12.9333,22.59,87,42,1.8,CD,1632182926
153,punta arenas,-53.15,-70.9167,11.06,66,75,7.72,CL,1632182926
154,matagami,49.7502,-77.6328,18.25,48,54,5.2,CA,1632182927
155,fortuna,40.5982,-124.1573,22.19,55,1,5.66,US,1632182927
156,chokurdakh,70.6333,147.9167,-0.53,62,96,4.24,RU,1632182928
157,saint-philippe,-21.3585,55.7679,19.75,77,97,5.63,RE,1632182928
158,moultonborough,43.7548,-71.3967,16.9,92,0,1.43,US,1632182928
159,talnakh,69.4865,88.3972,0.34,78,87,1.49,RU,1632182929
160,tiruppuvanam,9.8333,78.2667,27.55,76,74,0.53,IN,1632182929
161,high level,58.5169,-117.136,15.57,40,6,1.32,CA,1632182929
162,bredasdorp,-34.5322,20.0403,7.65,74,4,2.0,ZA,1632182930
163,cabo san lucas,22.8909,-109.9124,28.61,83,75,4.12,MX,1632182638
164,sinnamary,5.3833,-52.95,26.58,85,21,4.08,GF,1632182930
165,dudinka,69.4058,86.1778,-1.33,86,100,4.96,RU,1632182931
166,bathsheba,13.2167,-59.5167,28.34,74,40,5.14,BB,1632182931
167,mahina,-17.5065,-149.489,28.87,61,20,7.2,PF,1632182932
168,avera,33.194,-82.5271,23.73,97,100,4.19,US,1632182932
169,jiayuguan,39.8167,98.3,17.47,23,2,1.02,CN,1632182933
170,broome,42.2506,-75.833,19.32,68,1,3.6,US,1632182933
171,provideniya,64.3833,-173.3,0.06,80,90,2.0,RU,1632182933
172,lorengau,-2.0226,147.2712,26.98,81,100,2.22,PG,1632182934
173,chumikan,54.7183,135.315,9.77,50,1,3.09,RU,1632182934
174,mongoumba,3.6415,18.5936,21.08,96,96,0.33,CF,1632182935
175,guerrero negro,27.9769,-114.0611,24.75,54,0,5.8,MX,1632182935
176,lincoln,40.8,-96.667,21.21,49,1,7.72,US,1632182704
177,lasa,46.6166,10.7002,9.41,93,92,1.04,IT,1632182936
178,sungaipenuh,-2.0833,101.3833,18.93,93,90,0.24,ID,1632182936
179,ha giang,22.8333,104.9833,24.23,94,20,0.77,VN,1632182698
180,los llanos de aridane,28.6585,-17.9182,21.86,69,75,5.66,ES,1632182936
181,opuwo,-18.0607,13.84,21.33,22,1,2.29,NA,1632182937
182,ucluelet,48.9329,-125.5528,12.92,89,100,2.43,CA,1632182686
183,hithadhoo,-0.6,73.0833,28.39,74,86,5.55,MV,1632182937
184,arys,42.4252,68.795,16.12,21,0,3.89,KZ,1632182938
185,saldanha,-33.0117,17.9442,12.16,68,1,7.48,ZA,1632182938
186,bonavista,48.6499,-53.1147,8.14,68,48,9.7,CA,1632182939
187,paoua,7.2427,16.4406,19.97,98,75,0.97,CF,1632182939
188,port hardy,50.6996,-127.4199,12.02,92,100,6.8,CA,1632182940
189,luan,46.3592,6.9759,7.87,94,84,1.21,CH,1632182940
190,richards bay,-28.783,32.0377,19.25,78,100,7.43,ZA,1632182940
191,cantaura,9.3057,-64.3584,27.26,65,86,2.12,VE,1632182941
192,parichha,25.5167,78.75,25.87,85,3,2.67,IN,1632182941
193,el reno,35.5323,-97.955,33.85,30,1,5.66,US,1632182942
194,pori,61.4833,21.7833,-1.96,93,0,0.51,FI,1632182942
195,kharan,28.5833,65.4167,25.05,15,0,2.15,PK,1632182942
196,nizhniy odes,63.6445,54.856,1.9,78,100,2.03,RU,1632182943
197,ahipara,-35.1667,173.1667,16.48,63,12,3.84,NZ,1632182943
198,cabo rojo,18.0866,-67.1457,27.24,79,34,2.73,PR,1632182944
199,ilulissat,69.2167,-51.1,-1.99,74,75,9.77,GL,1632182944
200,jashpurnagar,22.9,84.15,21.0,94,84,1.88,IN,1632182944
201,ketchikan,55.3422,-131.6461,12.26,94,90,4.12,US,1632182945
202,nedjo,9.5046,35.5019,14.01,86,43,0.57,ET,1632182945
203,najran,17.4924,44.1277,24.26,21,14,1.64,SA,1632182946
204,vao,-22.6667,167.4833,21.25,64,96,7.8,NC,1632182775
205,isangel,-19.55,169.2667,25.1,54,19,5.95,VU,1632182946
206,lebu,-37.6167,-73.65,10.01,86,0,9.41,CL,1632182947
207,tuktoyaktuk,69.4541,-133.0374,2.66,78,100,5.74,CA,1632182947
208,mecca,21.4267,39.8261,33.06,18,49,2.66,SA,1632182947
209,klaksvik,62.2266,-6.589,11.51,79,75,16.3,FO,1632182948
210,hobyo,5.3505,48.5268,24.78,87,16,8.75,SO,1632182948
211,lompoc,34.6391,-120.4579,32.08,60,1,5.14,US,1632182949
212,nykoping,58.753,17.0079,5.92,93,0,1.03,SE,1632182949
213,formosa,-26.1775,-58.1781,24.99,73,90,10.29,AR,1632182949
214,collie,-33.3667,116.15,12.78,48,0,3.91,AU,1632182950
215,antequera,37.0194,-4.5612,18.72,88,0,1.67,ES,1632182950
216,mitsamiouli,-11.3847,43.2844,24.44,79,0,5.36,KM,1632182950
217,dali,25.7,100.1833,15.13,84,4,0.88,CN,1632182951
218,lima,-12.0432,-77.0282,15.14,77,0,6.17,PE,1632182690
219,ostrovnoy,68.0531,39.5131,1.84,87,59,5.25,RU,1632182951
220,amazar,53.858,120.875,11.77,84,7,0.71,RU,1632182952
221,north bend,43.4065,-124.2243,18.95,63,1,9.26,US,1632182952
222,vila,42.0304,-8.1588,9.49,92,0,2.62,PT,1632182952
223,bac lieu,9.285,105.7244,26.68,81,98,2.36,VN,1632182953
224,santa helena,-2.2311,-45.3,24.31,85,22,2.13,BR,1632182953
225,baruun-urt,46.6806,113.2792,12.42,79,99,1.15,MN,1632182954
226,nanortalik,60.1432,-45.2371,3.05,70,2,5.79,GL,1632182954
227,nador,35.174,-2.9287,22.14,83,75,0.51,MA,1632182954
228,taikang,46.8333,124.4167,12.45,85,100,4.9,CN,1632182955
229,karabulak,43.3036,44.8964,16.31,78,42,1.15,RU,1632182955
230,nikolskoye,59.7035,30.7861,5.94,76,98,3.35,RU,1632182955
231,liberal,37.0431,-100.921,25.57,31,1,7.72,US,1632182956
232,kiskunhalas,46.434,19.4848,7.9,77,50,3.38,HU,1632182956
233,esperance,-33.8667,121.9,11.05,70,8,6.33,AU,1632182957
234,lufkin,31.3382,-94.7291,32.06,61,1,4.12,US,1632182957
235,bandar,2.05,99.75,22.66,85,100,0.98,ID,1632182958
236,xining,36.6167,101.7667,9.19,42,0,1.03,CN,1632182958
237,ilyich,40.8464,68.5067,14.33,36,0,2.36,KZ,1632182959
238,marmaris,36.855,28.2742,23.99,67,0,1.31,TR,1632182959
239,sayansk,54.1088,102.1648,2.86,92,64,2.08,RU,1632182959
240,naze,28.3667,129.4833,24.96,71,0,0.61,JP,1632182960
241,storforshei,66.4043,14.5233,4.73,85,78,2.52,NO,1632182960
242,ranau,5.9538,116.6641,19.36,96,100,0.73,MY,1632182961
243,radishchevo,52.85,47.8833,8.39,66,100,5.77,RU,1632182961
244,kashi,39.4547,75.9797,20.11,16,1,2.42,CN,1632182962
245,severo-yeniseyskiy,60.3725,93.0408,-0.07,96,77,2.46,RU,1632182962
246,gold coast,-28.0,153.4333,21.04,60,40,8.75,AU,1632182836
247,oranjestad,12.524,-70.027,28.97,70,20,5.66,AW,1632182963
248,fare,-16.7,-151.0167,26.14,69,12,5.91,PF,1632182963
249,sosnovo-ozerskoye,52.5249,111.5418,10.54,87,57,1.48,RU,1632182964
250,torbay,47.6666,-52.7314,7.85,71,48,10.49,CA,1632182732
251,mnogovershinnyy,53.9353,139.9242,9.44,47,0,5.61,RU,1632182964
252,suhut,38.5311,30.5458,18.07,40,0,2.44,TR,1632182965
253,bensonville,6.4461,-10.6125,23.71,92,97,1.33,LR,1632182965
254,ryotsu,38.0833,138.4333,23.77,67,0,3.66,JP,1632182965
255,nouadhibou,20.931,-17.0347,22.82,76,5,9.15,MR,1632182966
256,deputatskiy,69.3,139.9,-3.96,72,48,2.14,RU,1632182966
257,rocha,-34.4833,-54.3333,11.91,89,92,7.03,UY,1632182967
258,bandarbeyla,9.4942,50.8122,24.55,83,56,11.34,SO,1632182967
259,knysna,-34.0363,23.0471,12.28,69,96,3.54,ZA,1632182968
260,iquitos,-3.7481,-73.2472,25.02,88,75,1.03,PE,1632182968
261,ponta do sol,32.6667,-17.1,22.35,83,34,2.43,PT,1632182969
262,monrovia,6.3005,-10.7969,25.43,84,93,2.79,LR,1632182969
263,carutapera,-1.195,-46.02,25.64,78,28,3.41,BR,1632182969
264,whakatane,-37.9585,176.9854,15.1,61,9,4.29,NZ,1632182970
265,macomer,40.262,8.7699,12.46,91,0,1.62,IT,1632182970
266,ozernovskiy,51.5,156.5167,9.32,84,67,11.25,RU,1632182971
267,bobrovka,54.047,61.7455,3.24,72,72,2.79,RU,1632182971
268,ballina,-28.8667,153.5667,20.1,66,59,5.25,AU,1632182971
269,ulaangom,49.9811,92.0667,4.65,58,2,1.54,MN,1632182972
270,college,64.8569,-147.8028,3.97,56,75,6.17,US,1632182972
271,capreol,46.706,-80.9225,16.95,67,97,2.24,CA,1632182973
272,mkushi,-13.6202,29.3939,15.33,33,0,1.81,ZM,1632182973
273,charters towers,-20.1,146.2667,26.78,19,84,9.38,AU,1632182973
274,carnarvon,-24.8667,113.6333,23.04,25,0,5.66,AU,1632182974
275,tasiilaq,65.6145,-37.6368,3.09,78,76,4.11,GL,1632182974
276,constitucion,-35.3333,-72.4167,10.92,79,0,4.61,CL,1632182974
